🍅  u1f345 Tomato
🍆  u1f346 Aubergine
🌽  u1f33d Ear Of Maize
🍠  u1f360 Roasted Sweet Potato
🍇  u1f347 Grapes
🍈  u1f348 1f349 Melon
🍉  u1f349 Watermelon
🍊  u1f34a Tangerine
🍋  u1f34b Lemon
🍌  u1f34c Banana
🍍  u1f34d Pineapple
🍎  u1f34e Red Apple
🍏  u1f34f Green Apple
🍐  u1f350 Pear
🍑  u1f351 Peach
🍒  u1f352 Cherries
🍓  u1f353 Strawberry
🍔  u1f354 Hamburger
🍕  u1f355 Slice Of Pizza
🍖  u1f356 Meat On Bone
🍗  u1f357 Poultry Leg
🍘  u1f358 Rice Cracker
🍙  u1f359 Rice Ball
🍚  u1f35a Cooked Rice
🍛  u1f35b Curry And Rice
🍜  u1f35c Steaming Bowl
🍝  u1f35d Spaghetti
🍞  u1f35e Bread
🍟  u1f35f French Fries
🍡  u1f361 Dango
🍢  u1f362 Oden
🍣  u1f363 Sushi
🍤  u1f364 Fried Shrimp
🍥  u1f365 Fish Cake With Swirl Design
🍦  u1f366 Soft Ice Cream
🍧  u1f367 Shaved Ice
🍨  u1f366 1f368 Ice Cream
🍩  u1f369 Doughnut
🍪  u1f36a Cookie
🍫  u1f36b Chocolate Bar
🍬  u1f36c Candy
🍭  u1f36d Lollipop
🍮  u1f36e Custard
🍯  u1f36f Honey Pot
🍰  u1f370 Shortcake
🍱  u1f371 Bento Box
🍲  u1f372 Pot Of Food
🍳  u1f373 Cooking
🍴  u1f374 Fork And Knife
🍵  u1f375 Teacup Without Handle
☕️ Hot Beverage
🍶  u1f376 Sake Bottle And Cup
🍷  u1f377 Wine Glass
🍸  u1f378 Cocktail Glass
🍹  u1f379 Tropical Drink
🍺  u1f37a Beer Mug
🍻  u1f37b Clinking Beer Mugs
🍼  u1f37c Baby Bottle
